날짜,판매량,프로모션진행개수,연도,월,일,요일,휴일종류_레이블
2013-01-01,0.0,0,2013,1,1,1,3
2013-01-02,778.7,0,2013,1,2,2,6
2013-01-03,384.74,0,2013,1,3,3,6
2013-01-04,387.55,0,2013,1,4,4,6
2013-01-05,564.3,0,2013,1,5,5,5
2013-01-06,688.75,0,2013,1,6,6,6
2013-01-07,328.65,0,2013,1,7,0,6
2013-01-08,374.66,0,2013,1,8,1,6
2013-01-09,347.76,0,2013,1,9,2,6
2013-01-10,216.32,0,2013,1,10,3,6
2013-01-11,333.6,0,2013,1,11,4,6
2013-01-12,478.05,0,2013,1,12,5,5
2013-01-13,582.42,0,2013,1,13,6,6
2013-01-14,389.28,0,2013,1,14,0,6
2013-01-15,314.21,0,2013,1,15,1,6
2013-01-16,396.46,0,2013,1,16,2,6
2013-01-17,270.03,0,2013,1,17,3,6
2013-01-18,309.91,0,2013,1,18,4,6
2013-01-19,460.46,0,2013,1,19,5,6
2013-01-20,555.49,0,2013,1,20,6,6
2013-01-21,333.64,0,2013,1,21,0,6
2013-01-22,250.45,0,2013,1,22,1,6
2013-01-23,295.86,0,2013,1,23,2,6
2013-01-24,180.37,0,2013,1,24,3,6
2013-01-25,317.51,0,2013,1,25,4,6
2013-01-26,459.11,0,2013,1,26,5,6
2013-01-27,559.12,0,2013,1,27,6,6
2013-01-28,311.45,0,2013,1,28,0,6
2013-01-29,284.18,0,2013,1,29,1,6
2013-01-30,349.94,0,2013,1,30,2,6
2013-01-31,257.98,0,2013,1,31,3,6
2013-02-01,311.52,0,2013,2,1,4,6
2013-02-02,598.39,0,2013,2,2,5,6
2013-02-03,610.36,0,2013,2,3,6,6
2013-02-04,310.0,0,2013,2,4,0,6
2013-02-05,312.06,0,2013,2,5,1,6
2013-02-06,368.84,0,2013,2,6,2,6
2013-02-07,252.31,0,2013,2,7,3,6
2013-02-08,309.87,0,2013,2,8,4,6
2013-02-09,334.21,0,2013,2,9,5,6
2013-02-10,251.14,0,2013,2,10,6,6
2013-02-11,285.53,0,2013,2,11,0,3
2013-02-12,421.34,0,2013,2,12,1,3
2013-02-13,282.0,0,2013,2,13,2,6
2013-02-14,272.22,0,2013,2,14,3,6
2013-02-15,278.6,0,2013,2,15,4,6
2013-02-16,574.19,0,2013,2,16,5,6
2013-02-17,499.44,0,2013,2,17,6,6
2013-02-18,340.59,0,2013,2,18,0,6
2013-02-19,280.0,0,2013,2,19,1,6
2013-02-20,334.24,0,2013,2,20,2,6
2013-02-21,177.0,0,2013,2,21,3,6
2013-02-22,209.64,0,2013,2,22,4,6
2013-02-23,449.3,0,2013,2,23,5,6
2013-02-24,559.58,0,2013,2,24,6,6
2013-02-25,272.67,0,2013,2,25,0,6
2013-02-26,260.0,0,2013,2,26,1,6
2013-02-27,296.51,0,2013,2,27,2,6
2013-02-28,175.0,0,2013,2,28,3,6
2013-03-01,463.62,0,2013,3,1,4,6
2013-03-02,564.46,0,2013,3,2,5,3
2013-03-03,680.7,0,2013,3,3,6,6
2013-03-04,351.63,0,2013,3,4,0,6
2013-03-05,229.63,0,2013,3,5,1,6
2013-03-06,414.99,0,2013,3,6,2,6
2013-03-07,218.19,0,2013,3,7,3,6
2013-03-08,265.44,0,2013,3,8,4,6
2013-03-09,490.9,0,2013,3,9,5,6
2013-03-10,482.82,0,2013,3,10,6,6
2013-03-11,326.3,0,2013,3,11,0,6
2013-03-12,299.8,0,2013,3,12,1,6
2013-03-13,343.25,0,2013,3,13,2,6
2013-03-14,211.72,0,2013,3,14,3,6
2013-03-15,292.35,0,2013,3,15,4,6
2013-03-16,663.89,0,2013,3,16,5,6
2013-03-17,685.67,0,2013,3,17,6,6
2013-03-18,413.27,0,2013,3,18,0,6
2013-03-19,256.58,0,2013,3,19,1,6
2013-03-20,385.75,0,2013,3,20,2,6
2013-03-21,276.52,0,2013,3,21,3,6
2013-03-22,360.35,0,2013,3,22,4,6
2013-03-23,537.3,0,2013,3,23,5,6
2013-03-24,502.08,0,2013,3,24,6,6
2013-03-25,322.42,0,2013,3,25,0,6
2013-03-26,191.0,0,2013,3,26,1,6
2013-03-27,357.61,0,2013,3,27,2,6
2013-03-28,287.26,0,2013,3,28,3,6
2013-03-29,382.4,0,2013,3,29,4,6
2013-03-30,487.03,0,2013,3,30,5,6
2013-03-31,547.44,0,2013,3,31,6,6
2013-04-01,437.66,0,2013,4,1,0,3
2013-04-02,316.19,0,2013,4,2,1,6
2013-04-03,374.77,0,2013,4,3,2,6
2013-04-04,306.41,0,2013,4,4,3,6
2013-04-05,388.84,0,2013,4,5,4,6
2013-04-06,658.78,0,2013,4,6,5,6
2013-04-07,671.13,0,2013,4,7,6,6
2013-04-08,395.38,0,2013,4,8,0,6
2013-04-09,285.0,0,2013,4,9,1,6
2013-04-10,342.0,0,2013,4,10,2,6
2013-04-11,264.54,0,2013,4,11,3,6
2013-04-12,309.0,0,2013,4,12,4,3
2013-04-13,561.39,0,2013,4,13,5,6
2013-04-14,624.3,0,2013,4,14,6,3
2013-04-15,345.8,0,2013,4,15,0,6
2013-04-16,370.42,0,2013,4,16,1,6
2013-04-17,425.34,0,2013,4,17,2,6
2013-04-18,310.49,0,2013,4,18,3,6
2013-04-19,399.62,0,2013,4,19,4,6
2013-04-20,622.5,0,2013,4,20,5,6
2013-04-21,634.55,0,2013,4,21,6,3
2013-04-22,331.8,0,2013,4,22,0,6
2013-04-23,308.0,0,2013,4,23,1,6
2013-04-24,464.97,0,2013,4,24,2,6
2013-04-25,254.18,0,2013,4,25,3,6
2013-04-26,358.5,0,2013,4,26,4,6
2013-04-27,564.85,0,2013,4,27,5,6
2013-04-28,627.6,0,2013,4,28,6,6
2013-04-29,306.23,0,2013,4,29,0,3
2013-04-30,347.18,0,2013,4,30,1,6
2013-05-01,655.26,0,2013,5,1,2,3
2013-05-02,374.58,0,2013,5,2,3,6
2013-05-03,502.02,0,2013,5,3,4,6
2013-05-04,657.28,0,2013,5,4,5,6
2013-05-05,764.28,0,2013,5,5,6,6
2013-05-06,398.36,0,2013,5,6,0,6
2013-05-07,372.37,0,2013,5,7,1,6
2013-05-08,459.39,0,2013,5,8,2,6
2013-05-09,352.92,0,2013,5,9,3,6
2013-05-10,449.62,0,2013,5,10,4,6
2013-05-11,774.62,0,2013,5,11,5,0
2013-05-12,408.25,0,2013,5,12,6,3
2013-05-12,408.25,0,2013,5,12,6,2
2013-05-13,332.32,0,2013,5,13,0,6
2013-05-14,374.71,0,2013,5,14,1,6
2013-05-15,343.92,0,2013,5,15,2,6
2013-05-16,329.89,0,2013,5,16,3,6
2013-05-17,386.1,0,2013,5,17,4,6
2013-05-18,666.14,0,2013,5,18,5,6
2013-05-19,504.0,0,2013,5,19,6,6
2013-05-20,307.81,0,2013,5,20,0,6
2013-05-21,245.56,0,2013,5,21,1,6
2013-05-22,459.87,0,2013,5,22,2,6
2013-05-23,338.52,0,2013,5,23,3,6
2013-05-24,417.47,0,2013,5,24,4,3
2013-05-25,459.39,0,2013,5,25,5,6
2013-05-26,477.9,0,2013,5,26,6,6
2013-05-27,404.47,0,2013,5,27,0,6
2013-05-28,330.28,0,2013,5,28,1,6
2013-05-29,395.2,0,2013,5,29,2,6
2013-05-30,388.21,0,2013,5,30,3,6
2013-05-31,394.21,0,2013,5,31,4,6
2013-06-01,722.31,0,2013,6,1,5,6
2013-06-02,694.24,0,2013,6,2,6,6
2013-06-03,365.13,0,2013,6,3,0,6
2013-06-04,369.86,0,2013,6,4,1,6
2013-06-05,462.92,0,2013,6,5,2,6
2013-06-06,300.65,0,2013,6,6,3,6
2013-06-07,494.36,0,2013,6,7,4,6
2013-06-08,664.66,0,2013,6,8,5,6
2013-06-09,622.56,0,2013,6,9,6,6
2013-06-10,476.63,0,2013,6,10,0,6
2013-06-11,330.62,0,2013,6,11,1,6
2013-06-12,527.38,0,2013,6,12,2,6
2013-06-13,429.29,0,2013,6,13,3,6
2013-06-14,520.86,0,2013,6,14,4,6
2013-06-15,1018.64,0,2013,6,15,5,6
2013-06-16,673.51,0,2013,6,16,6,6
2013-06-17,500.29,0,2013,6,17,0,6
2013-06-18,349.44,0,2013,6,18,1,6
2013-06-19,513.21,0,2013,6,19,2,6
2013-06-20,359.22,0,2013,6,20,3,6
2013-06-21,423.79,0,2013,6,21,4,6
2013-06-22,674.37,0,2013,6,22,5,6
2013-06-23,604.0,0,2013,6,23,6,3
2013-06-24,322.34,0,2013,6,24,0,6
2013-06-25,341.0,0,2013,6,25,1,3
2013-06-25,341.0,0,2013,6,25,1,3
2013-06-25,341.0,0,2013,6,25,1,3
2013-06-26,363.51,0,2013,6,26,2,6
2013-06-27,301.71,0,2013,6,27,3,6
2013-06-28,466.33,0,2013,6,28,4,6
2013-06-29,718.85,0,2013,6,29,5,6
2013-06-30,756.55,0,2013,6,30,6,6
2013-07-01,501.0,0,2013,7,1,0,6
2013-07-02,485.16,0,2013,7,2,1,6
2013-07-03,610.2,0,2013,7,3,2,3
2013-07-03,610.2,0,2013,7,3,2,3
2013-07-04,326.72,0,2013,7,4,3,6
2013-07-05,503.04,0,2013,7,5,4,6
2013-07-06,694.11,0,2013,7,6,5,6
2013-07-07,734.0,0,2013,7,7,6,6
2013-07-08,348.0,0,2013,7,8,0,6
2013-07-09,385.0,0,2013,7,9,1,6
2013-07-10,386.07,0,2013,7,10,2,6
2013-07-11,257.13,0,2013,7,11,3,6
2013-07-12,505.35,0,2013,7,12,4,6
2013-07-13,674.27,0,2013,7,13,5,6
2013-07-14,619.01,0,2013,7,14,6,6
2013-07-15,481.91,0,2013,7,15,0,6
2013-07-16,471.5,0,2013,7,16,1,6
2013-07-17,496.51,0,2013,7,17,2,6
2013-07-18,386.78,0,2013,7,18,3,6
2013-07-19,539.08,0,2013,7,19,4,6
2013-07-20,670.2,0,2013,7,20,5,6
2013-07-21,680.32,0,2013,7,21,6,6
2013-07-22,439.68,0,2013,7,22,0,6
2013-07-23,443.82,0,2013,7,23,1,3
2013-07-24,435.32,0,2013,7,24,2,0
2013-07-25,345.92,0,2013,7,25,3,3
2013-07-26,484.04,0,2013,7,26,4,6
2013-07-27,704.57,0,2013,7,27,5,6
2013-07-28,581.12,0,2013,7,28,6,6
2013-07-29,305.0,0,2013,7,29,0,6
2013-07-30,386.61,0,2013,7,30,1,6
2013-07-31,424.61,0,2013,7,31,2,6
2013-08-01,435.61,0,2013,8,1,3,6
2013-08-02,493.23,0,2013,8,2,4,6
2013-08-03,729.97,0,2013,8,3,5,6
2013-08-04,597.04,0,2013,8,4,6,6
2013-08-05,427.0,0,2013,8,5,0,3
2013-08-06,405.46,0,2013,8,6,1,6
2013-08-07,418.34,0,2013,8,7,2,6
2013-08-08,364.5,0,2013,8,8,3,6
2013-08-09,478.34,0,2013,8,9,4,6
2013-08-10,576.64,0,2013,8,10,5,3
2013-08-11,493.72,0,2013,8,11,6,6
2013-08-12,397.91,0,2013,8,12,0,6
2013-08-13,371.0,0,2013,8,13,1,6
2013-08-14,447.61,0,2013,8,14,2,6
2013-08-15,257.3,0,2013,8,15,3,3
2013-08-16,419.86,0,2013,8,16,4,6
2013-08-17,621.16,0,2013,8,17,5,6
2013-08-18,678.61,0,2013,8,18,6,6
2013-08-19,356.46,0,2013,8,19,0,6
2013-08-20,431.47,0,2013,8,20,1,6
2013-08-21,390.07,0,2013,8,21,2,6
2013-08-22,401.36,0,2013,8,22,3,6
2013-08-23,417.87,0,2013,8,23,4,6
2013-08-24,573.42,0,2013,8,24,5,3
2013-08-25,617.94,0,2013,8,25,6,6
2013-08-26,403.96,0,2013,8,26,0,6
2013-08-27,375.62,0,2013,8,27,1,6
2013-08-28,510.52,0,2013,8,28,2,6
2013-08-29,332.8,0,2013,8,29,3,6
2013-08-30,418.87,0,2013,8,30,4,6
2013-08-31,741.36,0,2013,8,31,5,6
2013-09-01,977.68,0,2013,9,1,6,6
2013-09-02,524.5,0,2013,9,2,0,6
2013-09-03,488.0,0,2013,9,3,1,6
2013-09-04,436.24,0,2013,9,4,2,6
2013-09-05,355.57,0,2013,9,5,3,6
2013-09-06,406.77,0,2013,9,6,4,6
2013-09-07,760.97,0,2013,9,7,5,6
2013-09-08,733.26,0,2013,9,8,6,6
2013-09-09,355.06,0,2013,9,9,0,6
2013-09-10,406.2,0,2013,9,10,1,6
2013-09-11,438.15,0,2013,9,11,2,6
2013-09-12,350.3,0,2013,9,12,3,6
2013-09-13,491.14,0,2013,9,13,4,6
2013-09-14,748.23,0,2013,9,14,5,6
2013-09-15,737.19,0,2013,9,15,6,6
2013-09-16,432.0,0,2013,9,16,0,6
2013-09-17,294.52,0,2013,9,17,1,6
2013-09-18,427.58,0,2013,9,18,2,6
2013-09-19,353.05,0,2013,9,19,3,6
2013-09-20,469.97,0,2013,9,20,4,6
2013-09-21,678.7,0,2013,9,21,5,6
2013-09-22,609.38,0,2013,9,22,6,6
2013-09-23,397.22,0,2013,9,23,0,6
2013-09-24,310.09,0,2013,9,24,1,6
2013-09-25,450.8,0,2013,9,25,2,6
2013-09-26,343.43,0,2013,9,26,3,6
2013-09-27,355.06,0,2013,9,27,4,6
2013-09-28,702.65,0,2013,9,28,5,3
2013-09-29,668.44,0,2013,9,29,6,6
2013-09-30,405.58,0,2013,9,30,0,6
2013-10-01,434.28,0,2013,10,1,1,6
2013-10-02,557.34,0,2013,10,2,2,6
2013-10-03,405.71,0,2013,10,3,3,6
2013-10-04,511.86,0,2013,10,4,4,6
2013-10-05,850.86,0,2013,10,5,5,6
2013-10-06,770.31,0,2013,10,6,6,6
2013-10-07,401.57,0,2013,10,7,0,3
2013-10-08,350.34,0,2013,10,8,1,6
2013-10-09,447.98,0,2013,10,9,2,3
2013-10-10,290.85,0,2013,10,10,3,6
2013-10-11,253.0,0,2013,10,11,4,4
2013-10-12,548.74,0,2013,10,12,5,6
2013-10-13,611.92,0,2013,10,13,6,6
2013-10-14,350.66,0,2013,10,14,0,6
2013-10-15,347.63,0,2013,10,15,1,6
2013-10-16,513.9,0,2013,10,16,2,6
2013-10-17,379.8,0,2013,10,17,3,6
2013-10-18,483.08,0,2013,10,18,4,6
2013-10-19,757.24,0,2013,10,19,5,6
2013-10-20,739.24,0,2013,10,20,6,6
2013-10-21,372.45,0,2013,10,21,0,6
2013-10-22,266.31,0,2013,10,22,1,6
2013-10-23,421.72,0,2013,10,23,2,6
2013-10-24,371.29,0,2013,10,24,3,6
2013-10-25,448.34,0,2013,10,25,4,6
2013-10-26,754.68,0,2013,10,26,5,6
2013-10-27,638.03,0,2013,10,27,6,6
2013-10-28,331.75,0,2013,10,28,0,6
2013-10-29,287.0,0,2013,10,29,1,6
2013-10-30,415.31,0,2013,10,30,2,6
2013-10-31,266.13,0,2013,10,31,3,6
2013-11-01,481.57,0,2013,11,1,4,6
2013-11-02,764.91,0,2013,11,2,5,3
2013-11-03,752.04,0,2013,11,3,6,3
2013-11-04,429.44,0,2013,11,4,0,6
2013-11-05,406.05,0,2013,11,5,1,6
2013-11-06,497.31,0,2013,11,6,2,3
2013-11-07,361.86,0,2013,11,7,3,3
2013-11-08,442.7,0,2013,11,8,4,6
2013-11-09,653.6,0,2013,11,9,5,6
2013-11-10,719.67,0,2013,11,10,6,3
2013-11-11,370.58,0,2013,11,11,0,3
2013-11-12,376.88,0,2013,11,12,1,3
2013-11-13,423.5,0,2013,11,13,2,6
2013-11-14,261.0,0,2013,11,14,3,6
2013-11-15,449.06,0,2013,11,15,4,6
2013-11-16,727.42,0,2013,11,16,5,6
2013-11-17,670.73,0,2013,11,17,6,6
2013-11-18,416.95,0,2013,11,18,0,6
2013-11-19,414.33,0,2013,11,19,1,6
2013-11-20,573.28,0,2013,11,20,2,6
2013-11-21,364.57,0,2013,11,21,3,6
2013-11-22,501.45,0,2013,11,22,4,6
2013-11-23,775.96,0,2013,11,23,5,6
2013-11-24,777.88,0,2013,11,24,6,6
2013-11-25,370.36,0,2013,11,25,0,6
2013-11-26,496.13,0,2013,11,26,1,6
2013-11-27,529.33,0,2013,11,27,2,6
2013-11-28,496.5,0,2013,11,28,3,6
2013-11-29,689.84,0,2013,11,29,4,6
2013-11-30,791.6,0,2013,11,30,5,6
2013-12-01,1135.05,0,2013,12,1,6,6
2013-12-02,555.79,0,2013,12,2,0,6
2013-12-03,612.06,0,2013,12,3,1,6
2013-12-04,817.13,0,2013,12,4,2,6
2013-12-05,723.9,0,2013,12,5,3,0
2013-12-06,967.16,0,2013,12,6,4,3
2013-12-07,851.66,0,2013,12,7,5,6
2013-12-08,958.19,0,2013,12,8,6,3
2013-12-09,795.83,0,2013,12,9,0,6
2013-12-10,909.98,0,2013,12,10,1,6
2013-12-11,1375.36,0,2013,12,11,2,6
2013-12-12,945.23,0,2013,12,12,3,6
2013-12-13,1931.13,0,2013,12,13,4,6
2013-12-14,2294.3,0,2013,12,14,5,6
2013-12-15,2359.6,0,2013,12,15,6,6
2013-12-16,1867.49,0,2013,12,16,0,6
2013-12-17,3196.65,0,2013,12,17,1,6
2013-12-18,4715.38,0,2013,12,18,2,6
2013-12-19,3325.13,0,2013,12,19,3,6
2013-12-20,4013.06,0,2013,12,20,4,6
2013-12-21,4946.45,0,2013,12,21,5,0
2013-12-22,4439.56,0,2013,12,22,6,0
2013-12-22,4439.56,0,2013,12,22,6,3
2013-12-23,5959.72,0,2013,12,23,0,0
2013-12-24,2149.01,0,2013,12,24,1,0
2013-12-26,1218.4,0,2013,12,26,3,0
2013-12-27,1859.32,0,2013,12,27,4,6
2013-12-28,1606.34,0,2013,12,28,5,6
2013-12-29,1843.76,0,2013,12,29,6,6
2013-12-30,1594.1,0,2013,12,30,0,6
2013-12-31,882.16,0,2013,12,31,1,0
2014-01-01,0.0,0,2014,1,1,2,3
2014-01-02,600.93,0,2014,1,2,3,6
2014-01-03,621.94,0,2014,1,3,4,6
2014-01-04,883.35,0,2014,1,4,5,6
2014-01-05,854.1,0,2014,1,5,6,6
2014-01-06,429.76,0,2014,1,6,0,6
2014-01-07,335.13,0,2014,1,7,1,6
2014-01-08,524.02,0,2014,1,8,2,6
2014-01-09,416.52,0,2014,1,9,3,6
2014-01-10,413.79,0,2014,1,10,4,6
2014-01-11,735.38,0,2014,1,11,5,6
2014-01-12,732.16,0,2014,1,12,6,6
2014-01-13,352.74,0,2014,1,13,0,6
2014-01-14,344.67,0,2014,1,14,1,6
2014-01-15,448.78,0,2014,1,15,2,6
2014-01-16,365.12,0,2014,1,16,3,6
2014-01-17,451.49,0,2014,1,17,4,6
2014-01-18,774.5,0,2014,1,18,5,6
2014-01-19,609.41,0,2014,1,19,6,6
2014-01-20,360.02,0,2014,1,20,0,6
2014-01-21,431.84,0,2014,1,21,1,6
2014-01-22,465.56,0,2014,1,22,2,6
2014-01-23,318.15,0,2014,1,23,3,6
2014-01-24,502.36,0,2014,1,24,4,6
2014-01-25,649.19,0,2014,1,25,5,6
2014-01-26,566.13,0,2014,1,26,6,6
2014-01-27,357.7,0,2014,1,27,0,6
2014-01-28,280.47,0,2014,1,28,1,6
2014-01-29,415.21,0,2014,1,29,2,6
2014-01-30,369.23,0,2014,1,30,3,6
2014-01-31,496.31,0,2014,1,31,4,6
2014-02-01,898.28,0,2014,2,1,5,6
2014-02-02,821.71,0,2014,2,2,6,6
2014-02-03,534.78,0,2014,2,3,0,6
2014-02-04,392.5,0,2014,2,4,1,6
2014-02-05,569.07,0,2014,2,5,2,6
2014-02-06,408.0,0,2014,2,6,3,6
2014-02-07,378.82,0,2014,2,7,4,6
2014-02-08,765.03,0,2014,2,8,5,6
2014-02-09,679.18,0,2014,2,9,6,6
2014-02-10,399.95,0,2014,2,10,0,6
2014-02-11,365.36,0,2014,2,11,1,6
2014-02-12,421.85,0,2014,2,12,2,6
2014-02-13,355.37,0,2014,2,13,3,6
2014-02-14,433.0,0,2014,2,14,4,6
2014-02-15,675.99,0,2014,2,15,5,6
2014-02-16,667.33,0,2014,2,16,6,6
2014-02-17,417.73,0,2014,2,17,0,6
2014-02-18,400.74,0,2014,2,18,1,6
2014-02-19,493.9,0,2014,2,19,2,6
2014-02-20,309.7,0,2014,2,20,3,6
2014-02-21,412.61,0,2014,2,21,4,6
2014-02-22,682.05,0,2014,2,22,5,6
2014-02-23,442.89,0,2014,2,23,6,6
2014-02-24,352.13,0,2014,2,24,0,6
2014-02-25,464.24,0,2014,2,25,1,6
2014-02-26,482.72,0,2014,2,26,2,6
2014-02-27,316.62,0,2014,2,27,3,6
