날짜,판매량,프로모션진행개수,연도,월,일,요일,휴일종류_레이블
2015-04-28,328.0,1,2015,4,28,1,6
2015-04-29,367.0,4,2015,4,29,2,6
2015-04-30,462.37,1,2015,4,30,3,6
2015-05-01,706.91,7,2015,5,1,4,3
2015-05-02,725.16,4,2015,5,2,5,6
2015-05-03,627.01,2,2015,5,3,6,6
2015-05-04,417.17,2,2015,5,4,0,6
2015-05-05,439.0,1,2015,5,5,1,6
2015-05-06,464.99,1,2015,5,6,2,6
2015-05-07,342.72,3,2015,5,7,3,6
2015-05-08,566.58,8,2015,5,8,4,6
2015-05-09,909.49,3,2015,5,9,5,0
2015-05-10,538.3,2,2015,5,10,6,2
2015-05-11,443.75,0,2015,5,11,0,6
2015-05-12,327.71,1,2015,5,12,1,3
2015-05-13,347.01,3,2015,5,13,2,6
2015-05-14,312.81,1,2015,5,14,3,6
2015-05-15,491.12,7,2015,5,15,4,6
2015-05-16,743.52,2,2015,5,16,5,6
2015-05-17,631.44,1,2015,5,17,6,6
2015-05-18,390.0,2,2015,5,18,0,6
2015-05-19,394.62,2,2015,5,19,1,6
2015-05-20,453.23,3,2015,5,20,2,6
2015-05-21,392.8,2,2015,5,21,3,6
2015-05-22,469.61,5,2015,5,22,4,6
2015-05-23,644.82,2,2015,5,23,5,6
2015-05-24,641.32,2,2015,5,24,6,3
2015-05-25,356.85,2,2015,5,25,0,6
2015-05-26,362.1,0,2015,5,26,1,6
2015-05-27,516.32,1,2015,5,27,2,6
2015-05-28,374.39,1,2015,5,28,3,6
2015-05-29,437.48,6,2015,5,29,4,6
2015-05-30,696.48,2,2015,5,30,5,6
2015-05-31,783.0,1,2015,5,31,6,6
2015-06-01,473.81,1,2015,6,1,0,6
2015-06-02,382.98,4,2015,6,2,1,6
2015-06-03,444.35,2,2015,6,3,2,6
2015-06-04,463.28,1,2015,6,4,3,6
2015-06-05,536.2,4,2015,6,5,4,6
2015-06-06,669.06,2,2015,6,6,5,6
2015-06-07,591.85,2,2015,6,7,6,6
2015-06-08,315.21,2,2015,6,8,0,6
2015-06-09,469.7,0,2015,6,9,1,6
2015-06-10,460.13,1,2015,6,10,2,6
2015-06-11,395.0,1,2015,6,11,3,6
2015-06-12,451.55,5,2015,6,12,4,6
2015-06-13,710.49,2,2015,6,13,5,6
2015-06-14,663.64,0,2015,6,14,6,6
2015-06-15,348.0,1,2015,6,15,0,6
2015-06-16,457.14,5,2015,6,16,1,6
2015-06-17,489.06,3,2015,6,17,2,6
2015-06-18,359.46,3,2015,6,18,3,6
2015-06-19,593.49,4,2015,6,19,4,6
2015-06-20,857.71,2,2015,6,20,5,6
2015-06-21,512.12,1,2015,6,21,6,6
2015-06-22,400.0,3,2015,6,22,0,6
2015-06-23,398.74,3,2015,6,23,1,3
2015-06-24,512.06,3,2015,6,24,2,6
2015-06-25,335.0,1,2015,6,25,3,3
2015-06-25,335.0,1,2015,6,25,3,3
2015-06-25,335.0,1,2015,6,25,3,3
2015-06-26,485.19,4,2015,6,26,4,6
2015-06-27,652.68,1,2015,6,27,5,6
2015-06-28,658.36,1,2015,6,28,6,6
2015-06-29,347.0,1,2015,6,29,0,6
2015-06-30,331.91,1,2015,6,30,1,6
2015-07-01,614.81,1,2015,7,1,2,6
2015-07-02,453.78,1,2015,7,2,3,6
2015-07-03,719.2,3,2015,7,3,4,3
2015-07-03,719.2,3,2015,7,3,4,3
2015-07-04,721.68,1,2015,7,4,5,6
2015-07-05,525.0,0,2015,7,5,6,6
2015-07-06,245.52,1,2015,7,6,0,6
2015-07-07,242.13,0,2015,7,7,1,6
2015-07-08,662.16,1,2015,7,8,2,6
2015-07-09,451.0,0,2015,7,9,3,6
2015-07-10,459.73,2,2015,7,10,4,6
2015-07-11,630.76,0,2015,7,11,5,6
2015-07-12,443.0,0,2015,7,12,6,6
2015-07-13,502.4,0,2015,7,13,0,6
2015-07-14,437.83,1,2015,7,14,1,6
2015-07-15,460.5,1,2015,7,15,2,6
2015-07-16,398.43,1,2015,7,16,3,6
2015-07-17,626.48,0,2015,7,17,4,6
2015-07-18,665.71,0,2015,7,18,5,6
2015-07-19,591.0,1,2015,7,19,6,6
2015-07-20,414.93,0,2015,7,20,0,6
2015-07-21,460.28,0,2015,7,21,1,6
2015-07-22,466.0,0,2015,7,22,2,6
2015-07-23,400.54,1,2015,7,23,3,3
2015-07-24,490.75,1,2015,7,24,4,3
2015-07-25,682.41,0,2015,7,25,5,3
2015-07-26,492.07,0,2015,7,26,6,6
2015-07-27,443.33,1,2015,7,27,0,6
2015-07-28,366.23,0,2015,7,28,1,6
2015-07-29,456.2,1,2015,7,29,2,6
2015-07-30,427.29,0,2015,7,30,3,6
2015-07-31,567.35,2,2015,7,31,4,6
2015-08-01,829.77,1,2015,8,1,5,6
2015-08-02,724.92,1,2015,8,2,6,6
2015-08-03,564.94,1,2015,8,3,0,6
2015-08-04,483.92,4,2015,8,4,1,6
2015-08-05,477.46,2,2015,8,5,2,3
2015-08-06,450.16,1,2015,8,6,3,6
2015-08-07,460.91,3,2015,8,7,4,6
2015-08-08,590.82,2,2015,8,8,5,6
2015-08-09,381.0,1,2015,8,9,6,6
2015-08-10,556.31,2,2015,8,10,0,3
2015-08-11,407.0,1,2015,8,11,1,6
2015-08-12,518.74,5,2015,8,12,2,6
2015-08-13,327.11,2,2015,8,13,3,6
2015-08-14,558.2,2,2015,8,14,4,6
2015-08-15,681.31,3,2015,8,15,5,3
2015-08-16,566.58,1,2015,8,16,6,6
2015-08-17,392.0,2,2015,8,17,0,6
2015-08-18,384.81,1,2015,8,18,1,6
2015-08-19,425.02,2,2015,8,19,2,6
2015-08-20,356.0,2,2015,8,20,3,6
2015-08-21,471.95,3,2015,8,21,4,6
2015-08-22,559.91,2,2015,8,22,5,6
2015-08-23,602.93,2,2015,8,23,6,6
2015-08-24,378.0,1,2015,8,24,0,3
2015-08-25,424.98,2,2015,8,25,1,6
2015-08-26,416.56,2,2015,8,26,2,6
2015-08-27,434.35,1,2015,8,27,3,6
2015-08-28,502.33,3,2015,8,28,4,6
2015-08-29,634.23,1,2015,8,29,5,6
2015-08-30,682.0,1,2015,8,30,6,6
2015-08-31,432.63,1,2015,8,31,0,6
2015-09-01,539.0,1,2015,9,1,1,6
2015-09-02,583.51,1,2015,9,2,2,6
2015-09-03,450.4,1,2015,9,3,3,6
2015-09-04,598.3,2,2015,9,4,4,6
2015-09-05,827.74,1,2015,9,5,5,6
2015-09-06,688.0,5,2015,9,6,6,6
2015-09-07,343.0,1,2015,9,7,0,6
2015-09-08,345.93,2,2015,9,8,1,6
2015-09-09,430.34,1,2015,9,9,2,6
2015-09-10,386.92,1,2015,9,10,3,6
2015-09-11,450.02,1,2015,9,11,4,6
2015-09-12,617.69,1,2015,9,12,5,6
2015-09-13,652.0,1,2015,9,13,6,6
2015-09-14,428.5,2,2015,9,14,0,6
2015-09-15,387.0,1,2015,9,15,1,6
2015-09-16,502.65,1,2015,9,16,2,6
2015-09-17,472.99,2,2015,9,17,3,6
2015-09-18,602.36,2,2015,9,18,4,6
2015-09-19,745.72,1,2015,9,19,5,6
2015-09-20,570.0,1,2015,9,20,6,6
2015-09-21,366.71,2,2015,9,21,0,6
2015-09-22,326.0,1,2015,9,22,1,6
2015-09-23,424.2,2,2015,9,23,2,6
2015-09-24,383.0,3,2015,9,24,3,6
2015-09-25,472.57,2,2015,9,25,4,6
2015-09-26,751.0,1,2015,9,26,5,6
2015-09-27,609.0,1,2015,9,27,6,6
2015-09-28,317.82,1,2015,9,28,0,3
2015-09-29,385.52,2,2015,9,29,1,6
2015-09-30,462.72,1,2015,9,30,2,6
2015-10-01,442.71,0,2015,10,1,3,6
2015-10-02,631.0,0,2015,10,2,4,6
2015-10-03,960.01,0,2015,10,3,5,6
2015-10-04,832.27,0,2015,10,4,6,6
2015-10-05,472.16,0,2015,10,5,0,6
2015-10-06,431.77,0,2015,10,6,1,6
2015-10-07,567.56,0,2015,10,7,2,3
2015-10-08,404.14,0,2015,10,8,3,6
2015-10-09,635.69,1,2015,10,9,4,3
2015-10-10,621.9,0,2015,10,10,5,6
2015-10-11,613.76,0,2015,10,11,6,6
2015-10-12,380.48,0,2015,10,12,0,6
2015-10-13,200.99,0,2015,10,13,1,6
2015-10-14,521.96,0,2015,10,14,2,6
2015-10-15,448.35,0,2015,10,15,3,6
2015-10-16,539.51,0,2015,10,16,4,6
2015-10-17,876.53,0,2015,10,17,5,6
2015-10-18,629.99,0,2015,10,18,6,6
2015-10-19,355.11,0,2015,10,19,0,6
2015-10-20,389.71,0,2015,10,20,1,6
2015-10-21,473.65,0,2015,10,21,2,6
2015-10-22,476.48,0,2015,10,22,3,6
2015-10-23,556.16,1,2015,10,23,4,6
2015-10-24,747.56,0,2015,10,24,5,6
2015-10-25,650.9,0,2015,10,25,6,6
2015-10-26,414.31,0,2015,10,26,0,6
2015-10-27,416.04,1,2015,10,27,1,6
2015-10-28,364.44,0,2015,10,28,2,6
2015-10-29,347.48,1,2015,10,29,3,6
2015-10-30,484.64,2,2015,10,30,4,6
2015-10-31,701.4,1,2015,10,31,5,6
2015-11-01,556.6,3,2015,11,1,6,6
2015-11-02,513.81,1,2015,11,2,0,3
2015-11-03,666.66,1,2015,11,3,1,3
2015-11-04,448.12,1,2015,11,4,2,6
2015-11-05,455.84,3,2015,11,5,3,6
2015-11-06,405.0,4,2015,11,6,4,3
2015-11-07,714.4,2,2015,11,7,5,3
2015-11-08,606.47,1,2015,11,8,6,6
2015-11-09,348.95,2,2015,11,9,0,6
2015-11-10,469.18,2,2015,11,10,1,3
2015-11-11,423.0,1,2015,11,11,2,3
2015-11-12,308.42,1,2015,11,12,3,3
2015-11-13,527.53,4,2015,11,13,4,6
2015-11-14,752.47,1,2015,11,14,5,6
2015-11-15,781.65,2,2015,11,15,6,6
2015-11-16,371.99,2,2015,11,16,0,6
2015-11-17,462.45,1,2015,11,17,1,6
2015-11-18,456.17,3,2015,11,18,2,6
2015-11-19,591.72,5,2015,11,19,3,6
2015-11-20,647.41,1,2015,11,20,4,6
2015-11-21,734.63,4,2015,11,21,5,6
2015-11-22,858.99,3,2015,11,22,6,6
2015-11-23,619.23,2,2015,11,23,0,6
2015-11-24,655.93,1,2015,11,24,1,6
2015-11-25,630.06,3,2015,11,25,2,6
2015-11-26,468.69,1,2015,11,26,3,6
2015-11-27,689.33,1,2015,11,27,4,2
2015-11-28,836.67,3,2015,11,28,5,6
2015-11-29,918.52,4,2015,11,29,6,6
2015-11-30,481.41,4,2015,11,30,0,2
2015-12-01,695.73,1,2015,12,1,1,6
2015-12-02,668.28,1,2015,12,2,2,6
2015-12-03,679.11,1,2015,12,3,3,6
2015-12-04,750.09,2,2015,12,4,4,6
2015-12-05,1126.19,1,2015,12,5,5,0
2015-12-06,1244.95,1,2015,12,6,6,3
2015-12-07,862.74,2,2015,12,7,0,6
2015-12-08,845.12,3,2015,12,8,1,3
2015-12-09,1158.25,2,2015,12,9,2,6
2015-12-10,1060.95,3,2015,12,10,3,6
2015-12-11,1463.88,3,2015,12,11,4,6
2015-12-12,1846.02,2,2015,12,12,5,6
2015-12-13,2043.04,3,2015,12,13,6,6
2015-12-14,1920.01,3,2015,12,14,0,6
2015-12-15,2523.46,4,2015,12,15,1,6
2015-12-16,4211.2,2,2015,12,16,2,6
2015-12-17,3332.65,2,2015,12,17,3,6
2015-12-18,4451.96,2,2015,12,18,4,6
2015-12-19,8170.47,1,2015,12,19,5,6
2015-12-20,6262.28,4,2015,12,20,6,6
2015-12-21,10092.62,2,2015,12,21,0,0
2015-12-22,6288.75,1,2015,12,22,1,0
2015-12-22,6288.75,1,2015,12,22,1,3
2015-12-23,5152.43,1,2015,12,23,2,0
2015-12-24,2016.35,0,2015,12,24,3,0
2015-12-26,1208.01,1,2015,12,26,5,0
2015-12-27,1249.4,0,2015,12,27,6,6
2015-12-28,1489.33,2,2015,12,28,0,6
2015-12-29,1927.45,3,2015,12,29,1,6
2015-12-30,1872.59,3,2015,12,30,2,6
2015-12-31,1142.65,1,2015,12,31,3,0
2016-01-01,0.0,0,2016,1,1,4,3
2016-01-02,810.72,1,2016,1,2,5,6
2016-01-03,988.85,1,2016,1,3,6,6
2016-01-04,730.19,2,2016,1,4,0,6
2016-01-05,733.73,1,2016,1,5,1,6
2016-01-06,634.32,0,2016,1,6,2,6
2016-01-07,525.29,1,2016,1,7,3,6
2016-01-08,622.22,3,2016,1,8,4,6
2016-01-09,846.94,1,2016,1,9,5,6
2016-01-10,749.35,3,2016,1,10,6,6
2016-01-11,430.45,0,2016,1,11,0,6
2016-01-12,381.8,2,2016,1,12,1,6
2016-01-13,427.87,1,2016,1,13,2,6
2016-01-14,413.59,2,2016,1,14,3,6
2016-01-15,593.79,3,2016,1,15,4,6
2016-01-16,827.66,3,2016,1,16,5,6
2016-01-17,674.58,3,2016,1,17,6,6
2016-01-18,401.1,4,2016,1,18,0,6
2016-01-19,529.13,7,2016,1,19,1,6
2016-01-20,581.59,7,2016,1,20,2,6
2016-01-21,262.08,1,2016,1,21,3,6
2016-01-22,544.91,4,2016,1,22,4,6
2016-01-23,751.57,3,2016,1,23,5,6
2016-01-24,618.98,3,2016,1,24,6,6
2016-01-25,344.11,3,2016,1,25,0,6
2016-01-26,382.38,2,2016,1,26,1,6
2016-01-27,422.0,3,2016,1,27,2,6
2016-01-28,430.88,3,2016,1,28,3,6
2016-01-29,430.68,4,2016,1,29,4,6
2016-01-30,799.49,3,2016,1,30,5,6
2016-01-31,708.56,3,2016,1,31,6,6
2016-02-01,438.87,3,2016,2,1,0,6
2016-02-02,413.95,3,2016,2,2,1,6
2016-02-03,439.0,3,2016,2,3,2,6
2016-02-04,363.53,4,2016,2,4,3,6
2016-02-05,548.5,4,2016,2,5,4,6
2016-02-06,661.14,4,2016,2,6,5,6
2016-02-07,505.81,4,2016,2,7,6,6
2016-02-08,543.98,4,2016,2,8,0,3
2016-02-09,587.33,4,2016,2,9,1,3
2016-02-10,486.44,3,2016,2,10,2,6
2016-02-11,431.08,4,2016,2,11,3,6
2016-02-12,429.43,5,2016,2,12,4,6
2016-02-13,749.99,4,2016,2,13,5,6
2016-02-14,643.98,4,2016,2,14,6,6
2016-02-15,431.04,3,2016,2,15,0,6
2016-02-16,456.0,4,2016,2,16,1,6
2016-02-17,523.92,4,2016,2,17,2,6
2016-02-18,379.66,4,2016,2,18,3,6
2016-02-19,469.9,4,2016,2,19,4,6
2016-02-20,673.0,4,2016,2,20,5,6
2016-02-21,540.0,3,2016,2,21,6,6
2016-02-22,410.25,3,2016,2,22,0,6
2016-02-23,357.0,2,2016,2,23,1,6
2016-02-24,549.54,4,2016,2,24,2,6
2016-02-25,427.71,1,2016,2,25,3,6
2016-02-26,494.04,1,2016,2,26,4,6
2016-02-27,651.24,0,2016,2,27,5,6
2016-02-28,691.98,1,2016,2,28,6,6
2016-02-29,363.71,1,2016,2,29,0,6
2016-03-01,481.74,1,2016,3,1,1,6
2016-03-02,484.79,1,2016,3,2,2,3
2016-03-03,433.02,0,2016,3,3,3,6
2016-03-04,438.48,0,2016,3,4,4,6
2016-03-05,793.62,0,2016,3,5,5,6
2016-03-06,707.08,0,2016,3,6,6,6
2016-03-07,439.09,0,2016,3,7,0,6
2016-03-08,386.0,0,2016,3,8,1,6
2016-03-09,461.0,0,2016,3,9,2,6
2016-03-10,353.0,0,2016,3,10,3,6
2016-03-11,500.54,0,2016,3,11,4,6
2016-03-12,711.0,1,2016,3,12,5,6
2016-03-13,684.08,0,2016,3,13,6,6
2016-03-14,342.0,0,2016,3,14,0,6
2016-03-15,377.91,0,2016,3,15,1,6
2016-03-16,469.39,0,2016,3,16,2,6
2016-03-17,338.66,1,2016,3,17,3,6
2016-03-18,547.54,2,2016,3,18,4,6
2016-03-19,659.88,1,2016,3,19,5,6
2016-03-20,644.56,1,2016,3,20,6,6
2016-03-21,390.41,0,2016,3,21,0,6
2016-03-22,392.0,0,2016,3,22,1,6
2016-03-23,446.78,0,2016,3,23,2,6
2016-03-24,393.79,0,2016,3,24,3,6
2016-03-25,470.73,1,2016,3,25,4,3
2016-03-26,560.79,0,2016,3,26,5,6
2016-03-27,474.54,0,2016,3,27,6,6
2016-03-28,345.36,0,2016,3,28,0,6
2016-03-29,280.92,0,2016,3,29,1,6
2016-03-30,372.55,0,2016,3,30,2,6
2016-03-31,357.02,0,2016,3,31,3,6
2016-04-01,694.09,1,2016,4,1,4,3
2016-04-02,827.76,0,2016,4,2,5,6
2016-04-03,766.35,0,2016,4,3,6,6
2016-04-04,412.0,0,2016,4,4,0,6
2016-04-05,451.39,0,2016,4,5,1,6
2016-04-06,420.0,0,2016,4,6,2,6
2016-04-07,292.07,0,2016,4,7,3,6
2016-04-08,442.14,1,2016,4,8,4,6
2016-04-09,694.98,1,2016,4,9,5,6
2016-04-10,600.4,2,2016,4,10,6,6
2016-04-11,343.0,1,2016,4,11,0,6
2016-04-12,373.02,3,2016,4,12,1,3
2016-04-13,443.94,0,2016,4,13,2,6
2016-04-14,503.17,5,2016,4,14,3,3
2016-04-15,589.17,5,2016,4,15,4,6
2016-04-16,519.0,0,2016,4,16,5,2
2016-04-17,638.69,1,2016,4,17,6,2
2016-04-18,361.93,3,2016,4,18,0,2
2016-04-19,324.45,2,2016,4,19,1,2
2016-04-20,479.28,2,2016,4,20,2,2
2016-04-21,335.94,4,2016,4,21,3,3
2016-04-21,335.94,4,2016,4,21,3,2
2016-04-22,426.48,3,2016,4,22,4,2
2016-04-23,664.7,3,2016,4,23,5,2
2016-04-24,602.88,1,2016,4,24,6,2
2016-04-25,289.56,1,2016,4,25,0,2
2016-04-26,297.0,3,2016,4,26,1,2
2016-04-27,451.88,1,2016,4,27,2,2
2016-04-28,270.14,2,2016,4,28,3,2
2016-04-29,560.0,2,2016,4,29,4,2
2016-04-30,727.68,1,2016,4,30,5,2
2016-05-01,741.0,3,2016,5,1,6,3
2016-05-01,741.0,3,2016,5,1,6,2
2016-05-02,411.62,4,2016,5,2,0,2
2016-05-03,378.78,2,2016,5,3,1,2
2016-05-04,416.32,3,2016,5,4,2,2
2016-05-05,370.06,1,2016,5,5,3,2
2016-05-06,491.73,3,2016,5,6,4,2
2016-05-07,852.6,1,2016,5,7,5,0
2016-05-07,852.6,1,2016,5,7,5,2
2016-05-08,479.0,1,2016,5,8,6,2
2016-05-08,479.0,1,2016,5,8,6,2
2016-05-09,377.64,3,2016,5,9,0,2
2016-05-10,431.87,3,2016,5,10,1,2
2016-05-11,420.74,3,2016,5,11,2,2
2016-05-12,370.97,2,2016,5,12,3,3
2016-05-12,370.97,2,2016,5,12,3,2
2016-05-13,472.87,4,2016,5,13,4,2
2016-05-14,703.51,4,2016,5,14,5,2
2016-05-15,651.31,3,2016,5,15,6,2
2016-05-16,342.0,3,2016,5,16,0,2
2016-05-17,324.48,2,2016,5,17,1,6
2016-05-18,387.23,2,2016,5,18,2,6
2016-05-19,330.14,2,2016,5,19,3,6
2016-05-20,498.85,3,2016,5,20,4,6
2016-05-21,661.88,2,2016,5,21,5,6
2016-05-22,675.96,2,2016,5,22,6,6
2016-05-23,404.64,3,2016,5,23,0,6
2016-05-24,358.54,2,2016,5,24,1,3
2016-05-25,444.82,3,2016,5,25,2,6
2016-05-26,347.15,3,2016,5,26,3,6
2016-05-27,715.21,3,2016,5,27,4,4
2016-05-28,609.13,2,2016,5,28,5,6
2016-05-29,485.32,2,2016,5,29,6,6
2016-05-30,347.88,4,2016,5,30,0,6
2016-05-31,525.56,3,2016,5,31,1,6
2016-06-01,484.07,2,2016,6,1,2,6
2016-06-02,302.05,2,2016,6,2,3,6
2016-06-03,542.42,4,2016,6,3,4,6
2016-06-04,816.09,4,2016,6,4,5,6
2016-06-05,617.29,4,2016,6,5,6,6
2016-06-06,407.0,5,2016,6,6,0,6
2016-06-07,466.04,4,2016,6,7,1,6
2016-06-08,437.86,3,2016,6,8,2,6
2016-06-09,340.23,3,2016,6,9,3,6
2016-06-10,423.5,4,2016,6,10,4,6
2016-06-11,578.16,2,2016,6,11,5,6
2016-06-12,517.67,2,2016,6,12,6,6
2016-06-13,306.23,2,2016,6,13,0,6
2016-06-14,358.0,4,2016,6,14,1,6
2016-06-15,423.35,4,2016,6,15,2,6
2016-06-16,449.38,5,2016,6,16,3,6
2016-06-17,510.43,6,2016,6,17,4,6
2016-06-18,802.63,5,2016,6,18,5,6
2016-06-19,476.01,5,2016,6,19,6,6
2016-06-20,300.22,6,2016,6,20,0,6
2016-06-21,309.89,4,2016,6,21,1,6
